Lcom/bump/accel/detector/BumpDetector;,validateOption,"('id',)"
Lcom/bump/accel/detector/SampleWindowBumpDetector;,validateOption,"('id',)"
Lcom/bump/api/BumpAPI;,getSharedPreferences,"('Share',)"
Lcom/bump/api/BumpAPI;,onBetterLocation,"('Location',)"
Lcom/bump/api/BumpAPI;,requestConnection,"('Connection',)"
Lcom/bump/api/BumpAPI;,updateLocation,"('Location',)"
Lcom/bump/api/BumpAPI;,updateLocation,"('Location',)"
Lcom/bump/shared/DeviceInfo;,getDeviceUID,"('Device', 'ID')"
Lcom/bump/shared/LocationDetector$1;,onLocationChanged,"('Location',)"
Lcom/bump/shared/LocationDetector$1;,onProviderDisabled,"('id',)"
Lcom/bump/shared/LocationDetector$1;,onProviderEnabled,"('id',)"
Lcom/bump/shared/LocationDetector$LocationUpdateListener;,onBetterLocation,"('Location',)"
Lcom/bump/shared/LocationDetector;,cacheLocation,"('Location',)"
Lcom/bump/shared/LocationDetector;,getCachedLocation,"('Location',)"
Lcom/bump/shared/LocationDetector;,getLocation,"('Location',)"
Lcom/bump/shared/LocationDetector;,getSharedPreferences,"('Share',)"
Lcom/bump/shared/LocationDetector;,isBetterLocation,"('Location',)"
Lcom/bump/shared/LocationDetector;,isSameProvider,"('id',)"
