com/google/firebase/FirebaseApp,getName,"('name',)"
com/google/firebase/FirebaseOptions,getApplicationId,"('id',)"
com/google/firebase/FirebaseOptions,getGcmSenderId,"('id',)"
com/google/firebase/FirebaseOptions,getProjectId,"('id',)"
com/google/firebase/FirebaseOptions.Builder,setApplicationId,"('id',)"
com/google/firebase/FirebaseOptions.Builder,setGcmSenderId,"('id',)"
com/google/firebase/FirebaseOptions.Builder,setProjectId,"('id',)"
com/google/firebase/auth/GetTokenResult,getSignInProvider,"('id',)"
com/google/firebase/auth/ActionCodeSettings,getAndroidInstallApp,"('Android', 'ID')"
com/google/firebase/auth/ActionCodeSettings,getAndroidMinimumVersion,"('Android', 'ID')"
com/google/firebase/auth/ActionCodeSettings,getAndroidPackageName,"('name',)"
com/google/firebase/auth/ActionCodeSettings.Builder,setAndroidPackageName,"('name',)"
com/google/firebase/auth/ActionCodeSettings.Builder,setIOSBundleId,"('id',)"
com/google/firebase/auth/AdditionalUserInfo,getProviderId,"('id',)"
com/google/firebase/auth/AdditionalUserInfo,getUsername,"('name',)"
com/google/firebase/auth/AuthCredential,getProvider,"('id',)"
com/google/firebase/auth/EmailAuthCredential,getProvider,"('id',)"
com/google/firebase/auth/FacebookAuthCredential,getProvider,"('id',)"
com/google/firebase/auth/FirebaseAuth,addIdTokenListener,"('AD', 'ID')"
com/google/firebase/auth/FirebaseAuth,confirmPasswordReset,"('Password',)"
com/google/firebase/auth/FirebaseAuth,createUserWithEmailAndPassword,"('Password',)"
com/google/firebase/auth/FirebaseAuth,removeIdTokenListener,"('id',)"
com/google/firebase/auth/FirebaseAuth,sendPasswordResetEmail,"('Password',)"
com/google/firebase/auth/FirebaseAuth,signInWithEmailAndPassword,"('Password',)"
com/google/firebase/auth/FirebaseAuth,startActivityForSignInWithProvider,"('id',)"
com/google/firebase/auth/FirebaseAuth,verifyPasswordResetCode,"('Password',)"
com/google/firebase/auth/FirebaseAuth.IdTokenListener,onIdTokenChanged,"('id',)"
com/google/firebase/auth/FirebaseAuthSettings,setAutoRetrievedSmsCodeForPhoneNumber,"('Phone', 'Number')"
com/google/firebase/auth/FirebaseUser,getDisplayName,"('name',)"
com/google/firebase/auth/FirebaseUser,getIdToken,"('id',)"
com/google/firebase/auth/FirebaseUser,getPhoneNumber,"('Phone', 'Number')"
com/google/firebase/auth/FirebaseUser,getProviderData,"('id',)"
com/google/firebase/auth/FirebaseUser,getProviderId,"('id',)"
com/google/firebase/auth/FirebaseUser,getUid,"('id',)"
com/google/firebase/auth/FirebaseUser,startActivityForLinkWithProvider,"('id',)"
com/google/firebase/auth/FirebaseUser,startActivityForReauthenticateWithProvider,"('id',)"
com/google/firebase/auth/FirebaseUser,updatePassword,"('Password',)"
com/google/firebase/auth/FirebaseUser,updatePhoneNumber,"('Phone', 'Number')"
com/google/firebase/auth/GetTokenResult,getSignInProvider,"('id',)"
com/google/firebase/auth/GithubAuthCredential,getProvider,"('id',)"
com/google/firebase/auth/GoogleAuthCredential,getProvider,"('id',)"
com/google/firebase/auth/MultiFactorAssertion,getFactorId,"('id',)"
com/google/firebase/auth/MultiFactorInfo,getDisplayName,"('name',)"
com/google/firebase/auth/MultiFactorInfo,getFactorId,"('id',)"
com/google/firebase/auth/MultiFactorInfo,getUid,"('id',)"
com/google/firebase/auth/OAuthCredential,getIdToken,"('id',)"
com/google/firebase/crashlytics/FirebaseCrashlytics,didCrashOnPreviousExecution,"('id',)"
com/google/firebase/crashlytics/FirebaseCrashlytics,setUserId,"('id',)"
com/google/firebase/database/DatabaseReference,runTransaction,"('Transaction',)"
com/google/firebase/database/Transaction.Handler,doTransaction,"('Transaction',)"
com/google/firebase/dynamiclinks/DynamicLink.Builder,getDomainUriPrefix,"('IP',)"
com/google/firebase/dynamiclinks/DynamicLink.Builder,setAndroidParameters,"('Android', 'ID')"
com/google/firebase/dynamiclinks/DynamicLink.Builder,setDomainUriPrefix,"('IP',)"
com/google/firebase/dynamiclinks/DynamicLink.IosParameters.Builder,getAppStoreId,"('id',)"
com/google/firebase/dynamiclinks/DynamicLink.IosParameters.Builder,getIpadBundleId,"('AD', 'ID')"
com/google/firebase/dynamiclinks/DynamicLink.IosParameters.Builder,getIpadFallbackUrl,"('IP',)"
com/google/firebase/dynamiclinks/DynamicLink.IosParameters.Builder,setAppStoreId,"('id',)"
com/google/firebase/dynamiclinks/DynamicLink.IosParameters.Builder,setIpadBundleId,"('AD', 'ID')"
com/google/firebase/dynamiclinks/DynamicLink.IosParameters.Builder,setIpadFallbackUrl,"('IP',)"
com/google/firebase/dynamiclinks/DynamicLink.ItunesConnectAnalyticsParameters.Builder,getProviderToken,"('id',)"
com/google/firebase/dynamiclinks/DynamicLink.ItunesConnectAnalyticsParameters.Builder,setProviderToken,"('id',)"
