Lio/lqd/sdk/LQQueuer;,setLiquidInstance,"('id',)"
Lio/lqd/sdk/LQRequestFactory;,requestLiquidPackageRequest,"('id',)"
Lio/lqd/sdk/Liquid;,attachLiquidEventListener,"('id',)"
Lio/lqd/sdk/Liquid;,detachLiquidEventListener,"('id',)"
Lio/lqd/sdk/Liquid;,getDeviceIdentifier,"('Device', 'Identifier')"
Lio/lqd/sdk/Liquid;,identifyUser,"('id',)"
Lio/lqd/sdk/Liquid;,identifyUser,"('id',)"
Lio/lqd/sdk/Liquid;,identifyUser,"('id',)"
Lio/lqd/sdk/Liquid;,identifyUser,"('id',)"
Lio/lqd/sdk/Liquid;,identifyUser,"('id',)"
Lio/lqd/sdk/Liquid;,invalidateVariables,"('id',)"
Lio/lqd/sdk/Liquid;,loadLiquidPackage,"('ad', 'id')"
Lio/lqd/sdk/Liquid;,setCurrentLocation,"('Location',)"
Lio/lqd/sdk/gcm/LQClientManager;,getGCMPreferences,"('Preference',)"
Lio/lqd/sdk/gcm/LQMessageHandler;,isLiquidPush,"('id',)"
Lio/lqd/sdk/model/LQDevice;,getDeviceID,"('Device', 'ID')"
Lio/lqd/sdk/model/LQDevice;,setLocation,"('Location',)"
Lio/lqd/sdk/model/LQEvent;,hasValidName,"('id',)"
Lio/lqd/sdk/model/LQLiquidPackage;,invalidateTargetFromVariableKey,"('id',)"
Lio/lqd/sdk/model/LQLiquidPackage;,invalidateValue,"('id',)"
Lio/lqd/sdk/model/LQLiquidPackage;,invalidateValuesOfTarget,"('id',)"
Lio/lqd/sdk/model/LQModel;,validKey,"('id',)"
Lio/lqd/sdk/model/LQModel;,validValue,"('id',)"
Lio/lqd/sdk/model/LQNetworkResponse;,hasForbidden,"('id',)"
Lio/lqd/sdk/visual/Modal$4;,onClick,"('Click',)"
Lio/lqd/sdk/visual/Modal$5;,onClick,"('Click',)"
Lio/lqd/sdk/visual/SlideUp$3;,onClick,"('Click',)"
Lio/lqd/sdk/visual/SlideUp;,isCancelingSlideDown,"('id',)"
Lio/lqd/sdk/visual/SlideUp;,isSlidingDown,"('id',)"
Lio/lqd/sdk/visual/SlideUp;,setUpSlideUp,"('id',)"
