Lcom/mapbox/mapboxsdk/geometry/BoundingBox;,isValid,"('id',)"
Lcom/mapbox/mapboxsdk/offline/OfflineMapDatabase;,invalidate,"('id',)"
Lcom/mapbox/mapboxsdk/overlay/GpsLocationProvider;,getLastKnownLocation,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/GpsLocationProvider;,getLocationUpdateMinDistance,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/GpsLocationProvider;,getLocationUpdateMinTime,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/GpsLocationProvider;,onLocationChanged,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/GpsLocationProvider;,onProviderDisabled,"('id',)"
Lcom/mapbox/mapboxsdk/overlay/GpsLocationProvider;,onProviderEnabled,"('id',)"
Lcom/mapbox/mapboxsdk/overlay/GpsLocationProvider;,setLocationUpdateMinDistance,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/GpsLocationProvider;,setLocationUpdateMinTime,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/GpsLocationProvider;,startLocationProvider,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/GpsLocationProvider;,stopLocationProvider,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/ItemizedIconOverlay;,markerHitTest,"('Hit',)"
Lcom/mapbox/mapboxsdk/overlay/ItemizedOverlay;,markerHitTest,"('Hit',)"
Lcom/mapbox/mapboxsdk/overlay/Marker;,getHeight,"('Height',)"
Lcom/mapbox/mapboxsdk/overlay/Marker;,getHitBounds,"('Hit',)"
Lcom/mapbox/mapboxsdk/overlay/Marker;,getRealHeight,"('Height',)"
Lcom/mapbox/mapboxsdk/overlay/Marker;,getUid,"('id',)"
Lcom/mapbox/mapboxsdk/overlay/Marker;,getWidth,"('id',)"
Lcom/mapbox/mapboxsdk/overlay/Marker;,invalidate,"('id',)"
Lcom/mapbox/mapboxsdk/overlay/TilesOverlay;,setUseDataConnection,"('Connection',)"
Lcom/mapbox/mapboxsdk/overlay/TilesOverlay;,useDataConnection,"('Connection',)"
Lcom/mapbox/mapboxsdk/overlay/UserLocationOverlay;,disableFollowLocation,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/UserLocationOverlay;,disableMyLocation,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/UserLocationOverlay;,drawMyLocation,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/UserLocationOverlay;,enableFollowLocation,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/UserLocationOverlay;,enableMyLocation,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/UserLocationOverlay;,enableMyLocation,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/UserLocationOverlay;,getMyLocation,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/UserLocationOverlay;,getMyLocationMapDrawingBounds,"('Location',)"
Lcom/mapbox/mapboxsdk/overlay/UserLocationOverlay;,getMyLocationProvider,"('Location',)"
