Lcom/fyber/ads/ofw/OfferWallActivity;,getPreferences,"('Preference',)"
Lcom/fyber/currency/VirtualCurrencyResponse;,getCurrencyId,"('Currency',)"
Lcom/fyber/currency/VirtualCurrencyResponse;,getCurrencyName,"('Currency',)"
Lcom/fyber/currency/VirtualCurrencyResponse;,getLatestTransactionId,"('Transaction',)"
Lcom/fyber/requesters/VirtualCurrencyRequester;,forCurrencyId,"('Currency',)"
Lcom/fyber/requesters/VirtualCurrencyRequester;,withTransactionId,"('Transaction',)"
Lcom/fyber/requesters/VirtualCurrencyRequester;,withVirtualCurrencyCallback,"('Currency',)"
Lcom/fyber/user/User;,getConnection,"('Connection',)"
Lcom/fyber/user/User;,getEducation,"('Education',)"
Lcom/fyber/user/User;,getGender,"('Gender',)"
Lcom/fyber/user/User;,getLocation,"('Location',)"
Lcom/fyber/user/User;,getMaritalStatus,"('Marital',)"
Lcom/fyber/user/User;,setConnection,"('Connection',)"
Lcom/fyber/user/User;,setEducation,"('Education',)"
Lcom/fyber/user/User;,setGender,"('Gender',)"
Lcom/fyber/user/User;,setLocation,"('Location',)"
Lcom/fyber/user/User;,setMaritalStatus,"('Marital',)"
Lcom/fyber/utils/StringUtils;,isURIValid,"('id',)"
Lcom/fyber/utils/s$1;,onClick,"('Click',)"
Lcom/fyber/utils/s;,shouldOverrideUrlLoading,"('ad', 'id')"
