Lcom/quicksdk/Extend;,getDeviceID,"('Device', 'ID')"
Lcom/quicksdk/QuickSDK;,getSwitchAccountNotifier,"('Account',)"
Lcom/quicksdk/QuickSDK;,setSwitchAccountNotifier,"('Account',)"
Lcom/quicksdk/QuickSdkProxy;,setSwitchAccountNotifier,"('Account',)"
Lcom/quicksdk/apiadapter/undefined/PayAdapter$3;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/PayAdapter$4;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/SdkAdapter$1;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/SdkAdapter$2;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/UserAdapter$2;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/UserAdapter$3;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/UserAdapter$6;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/UserAdapter$7;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/UserAdapter;,getUid,"('id',)"
Lcom/quicksdk/apiadapter/undefined/UserAdapter;,switchAccount,"('Account',)"
Lcom/quicksdk/apiadapter/undefined/check/AlertDialog$1;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/check/a$1;,onItemClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/check/a$a;,setDivider,"('id',)"
Lcom/quicksdk/apiadapter/undefined/check/a$a;,setDividerHeight,"('Height',)"
Lcom/quicksdk/apiadapter/undefined/check/g$1;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/check/m;,getIntrinsicHeight,"('Height',)"
Lcom/quicksdk/apiadapter/undefined/check/m;,getIntrinsicWidth,"('id',)"
Lcom/quicksdk/apiadapter/undefined/check/n$a$1;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/check/n$a$2;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/check/n;,setCanceledOnTouchOutside,"('id',)"
Lcom/quicksdk/apiadapter/undefined/check/q$a$1;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/check/q$a$2;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/check/q$a$3;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/check/q;,setCanceledOnTouchOutside,"('id',)"
Lcom/quicksdk/apiadapter/undefined/check/t$a$1;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/check/t$a$2;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/check/t$a$3;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/check/t;,setCanceledOnTouchOutside,"('id',)"
Lcom/quicksdk/apiadapter/undefined/check/x$2;,onClick,"('Click',)"
Lcom/quicksdk/apiadapter/undefined/check/x$3;,onItemClick,"('Click',)"
Lcom/quicksdk/c/e$1;,onClick,"('Click',)"
Lcom/quicksdk/c/e$2;,onClick,"('Click',)"
Lcom/quicksdk/c/e$3;,onClick,"('Click',)"
Lcom/quicksdk/c/e$4;,onClick,"('Click',)"
Lcom/quicksdk/c/e$5;,onClick,"('Click',)"
Lcom/quicksdk/c/e$6;,onClick,"('Click',)"
Lcom/quicksdk/c/e$7;,onClick,"('Click',)"
Lcom/quicksdk/entity/GameRoleInfo;,getGameRoleGender,"('Gender',)"
Lcom/quicksdk/entity/GameRoleInfo;,getProfession,"('Profession',)"
Lcom/quicksdk/entity/GameRoleInfo;,getProfessionId,"('Profession',)"
Lcom/quicksdk/entity/GameRoleInfo;,setGameRoleGender,"('Gender',)"
Lcom/quicksdk/entity/GameRoleInfo;,setProfession,"('Profession',)"
Lcom/quicksdk/entity/GameRoleInfo;,setProfessionId,"('Profession',)"
Lcom/quicksdk/entity/OrderInfo;,getPrice,"('Price',)"
Lcom/quicksdk/entity/OrderInfo;,setPrice,"('Price',)"
Lcom/quicksdk/entity/ShareInfo;,getShareTo,"('Share',)"
Lcom/quicksdk/entity/ShareInfo;,setShareTo,"('Share',)"
Lcom/quicksdk/entity/UserCacheInfo;,getUid,"('id',)"
Lcom/quicksdk/entity/UserCacheInfo;,setUid,"('id',)"
Lcom/quicksdk/entity/UserInfo;,getPlatformPassword,"('Password',)"
Lcom/quicksdk/entity/UserInfo;,getPlatformUid,"('id',)"
Lcom/quicksdk/entity/UserInfo;,getPlatformUsername,"('name',)"
Lcom/quicksdk/entity/UserInfo;,setPlatformPassword,"('Password',)"
Lcom/quicksdk/entity/UserInfo;,setPlatformUid,"('id',)"
Lcom/quicksdk/entity/UserInfo;,setPlatformUsername,"('name',)"
Lcom/quicksdk/utility/AppConfig;,getProductCode,"('Product',)"
Lcom/quicksdk/utility/AppConfig;,getProductKey,"('Product',)"
Lcom/quicksdk/utility/AppConfig;,getProductVersionCode,"('Product',)"
Lcom/quicksdk/utility/AppConfig;,getServerIPConfigURL,"('IP',)"
Lcom/quicksdk/utility/AppConfig;,getUidPrefix,"('id',)"
Lcom/quicksdk/utility/AppConfig;,setProductCode,"('Product',)"
Lcom/quicksdk/utility/AppConfig;,setProductKey,"('Product',)"
