Lcom/tappx/a/g4$c;,shouldOverrideUrlLoading,"('ad', 'id')"
Lcom/tappx/a/l4$e;,shouldOverrideUrlLoading,"('ad', 'id')"
Lcom/tappx/a/m2$c;,shouldOverrideUrlLoading,"('ad', 'id')"
Lcom/tappx/a/s2;,denyPersonalInfoConsent,"('Personal',)"
Lcom/tappx/a/s2;,grantPersonalInfoConsent,"('Personal',)"
Lcom/tappx/a/t4$a;,onClick,"('Click',)"
Lcom/tappx/a/y3$b;,onClick,"('Click',)"
Lcom/tappx/a/y4$c;,onClick,"('Click',)"
Lcom/tappx/sdk/adapters/AdmobBannerAdapter$AdapterListener;,onBannerClicked,"('Click',)"
Lcom/tappx/sdk/adapters/AdmobBannerAdapter;,getGender,"('Gender',)"
Lcom/tappx/sdk/adapters/AdmobInterstitialAdapter$AdapterListener;,onInterstitialClicked,"('Click',)"
Lcom/tappx/sdk/adapters/AdmobInterstitialAdapter;,getGender,"('Gender',)"
Lcom/tappx/sdk/android/AdRequest;,getGender,"('Gender',)"
Lcom/tappx/sdk/android/AdRequest;,getMaritalStatus,"('Marital',)"
Lcom/tappx/sdk/android/TappxBanner$AdSize;,getHeight,"('Height',)"
Lcom/tappx/sdk/android/TappxBanner$AdSize;,getWidth,"('id',)"
Lcom/tappx/sdk/android/TappxBannerListener;,onBannerClicked,"('Click',)"
Lcom/tappx/sdk/android/TappxInterstitialListener;,onInterstitialClicked,"('Click',)"
Lcom/tappx/sdk/android/TappxPrivacyManager;,denyPersonalInfoConsent,"('Personal',)"
Lcom/tappx/sdk/android/TappxPrivacyManager;,grantPersonalInfoConsent,"('Personal',)"
Lcom/tappx/sdk/android/VideoAdActivity;,startMraid,"('id',)"
