LoginButton,dismissToolTip,Dismisses the Tooltip if it is currently visible
ShareOpenGraphContent.Builder,setPreviewPropertyName,Sets the property name for the primary ShareOpenGraphObject in the action.
GameRequestContent.Builder,setObjectId,"Sets the open graph id of the object that action type will be performed on Only valid (and required) for ActionTypes SEND, ASKFOR"
GraphRequestBatch,getBatchApplicationId,Getter for the batch application id.
LoginButton,getToolTipMode,Return the current LoginButton.ToolTipMode for this LoginButton
GraphRequest,getDefaultBatchApplicationId,"Gets the default Facebook application ID that will be used to submit batched requests. Batched requests require an application ID, so either at least one request in a batch must provide an access token or the application ID must be specified explicitly."
FacebookSdk,getApplicationName,Gets the Facebook application name of the current app. This should only be called after the SDK has been initialized by calling FacebookSdk.sdkInitialize().
LoginButton,getToolTipDisplayTime,Gets the current amount of time (in ms) that the tool tip will be displayed to the user.
GameRequestContent,getRecipients,Gets the user IDs or user names the request will be sent to.
GameRequestDialog.Result,getRequestId,Returns the request ID.
Profile,getLastName,Getter for the last name of the profile.
AppGroupCreationContent.Builder,setName,Sets the name of the group that will be created.
DeviceLoginManager,getDeviceAuthTargetUserId,"Get the target user id for the device request, if any."
ShareVideoContent,getContentDescription,Returns:The description of the video.
LoginFragment,getLayoutResId,onResumepublic void onResume()
ShareMessengerURLActionButton,getShouldHideWebviewShareButton,Deprecated. 
CodelessLoggingEventListener,getOnClickListener,CodelessLoggingEventListener.AutoLoggingOnClickListener
AppEvent,getName,getIsImplicitpublic boolean getIsImplicit()
GraphRequest,setSkipClientToken,This is an internal function that is not meant to be used by developers.
ShareContent.Builder,setPeopleIds,Set the list of Ids for taggable people to tag with this content.
ShareMessengerMediaTemplateContent,getAttachmentId,Deprecated. 
