Lcom/tappx/a/a/b/ab$1;,onClick,['Click']
Lcom/tappx/a/a/b/ag$3;,onClick,['Click']
Lcom/tappx/a/a/b/g$2;,onClick,['Click']
Lcom/tappx/sdk/adapters/AdmobBannerAdapter$AdapterListener;,onBannerClicked,['Click']
Lcom/tappx/sdk/adapters/AdmobBannerAdapter;,getGender,['Gender']
Lcom/tappx/sdk/adapters/AdmobInterstitialAdapter$AdapterListener;,onInterstitialClicked,['Click']
Lcom/tappx/sdk/adapters/AdmobInterstitialAdapter;,getGender,['Gender']
Lcom/tappx/sdk/android/AdRequest;,gender,['Gender']
Lcom/tappx/sdk/android/AdRequest;,getGender,['Gender']
Lcom/tappx/sdk/android/AdRequest;,getMaritalStatus,['Marital']
Lcom/tappx/sdk/android/AdRequest;,maritalStatus,['Marital']
Lcom/tappx/sdk/android/TappxBannerListener;,onBannerClicked,['Click']
Lcom/tappx/sdk/android/TappxInterstitialListener;,onInterstitialClicked,['Click']
