Lcom/tappx/a/b5$a;,onClick,['Click']
Lcom/tappx/a/g4$b;,onClick,['Click']
Lcom/tappx/a/g5$c;,onClick,['Click']
Lcom/tappx/sdk/adapters/AdmobBannerAdapter$AdapterListener;,onBannerClicked,['Click']
Lcom/tappx/sdk/adapters/AdmobBannerAdapter;,getGender,['Gender']
Lcom/tappx/sdk/adapters/AdmobInterstitialAdapter$AdapterListener;,onInterstitialClicked,['Click']
Lcom/tappx/sdk/adapters/AdmobInterstitialAdapter;,getGender,['Gender']
Lcom/tappx/sdk/android/AdRequest;,gender,['Gender']
Lcom/tappx/sdk/android/AdRequest;,getGender,['Gender']
Lcom/tappx/sdk/android/AdRequest;,getMaritalStatus,['Marital']
Lcom/tappx/sdk/android/AdRequest;,maritalStatus,['Marital']
Lcom/tappx/sdk/android/TappxBannerListener;,onBannerClicked,['Click']
Lcom/tappx/sdk/android/TappxInterstitialListener;,onInterstitialClicked,['Click']
