Lcom/tappx/a/k4$a;,onClick,['Click']
Lcom/tappx/a/p3$b;,onClick,['Click']
Lcom/tappx/a/p4$c;,onClick,['Click']
Lcom/tappx/sdk/adapters/AdmobBannerAdapter$AdapterListener;,onBannerClicked,['Click']
Lcom/tappx/sdk/adapters/AdmobBannerAdapter;,getGender,['Gender']
Lcom/tappx/sdk/adapters/AdmobInterstitialAdapter$AdapterListener;,onInterstitialClicked,['Click']
Lcom/tappx/sdk/adapters/AdmobInterstitialAdapter;,getGender,['Gender']
Lcom/tappx/sdk/android/AdRequest;,gender,['Gender']
Lcom/tappx/sdk/android/AdRequest;,getGender,['Gender']
Lcom/tappx/sdk/android/AdRequest;,getMaritalStatus,['Marital']
Lcom/tappx/sdk/android/AdRequest;,maritalStatus,['Marital']
Lcom/tappx/sdk/android/TappxBannerListener;,onBannerClicked,['Click']
Lcom/tappx/sdk/android/TappxInterstitialListener;,onInterstitialClicked,['Click']
