com.unity3d.ads.adunit.AdUnitMotionEvent,getDeviceId,"['Device', 'ID']",
com.unity3d.ads.device.AdvertisingId,getAdvertisingTrackingId,"['Advertising', 'ID']",
com.unity3d.ads.device.Device,getAndroidId,['AndroidID'],
com.unity3d.ads.device.Device,getAdvertisingTrackingId,"['Advertising', 'ID']",
com.unity3d.ads.device.Device,getCertificateFingerprint,['Fingerprint'],
com.unity3d.ads.device.Device,getFingerprint,['Fingerprint'],
com.unity3d.ads.api.DeviceInfo,getAndroidId,['AndroidID'],
com.unity3d.ads.api.DeviceInfo,getAdvertisingTrackingId,"['Advertising', 'ID']",
com.unity3d.ads.api.DeviceInfo,getCertificateFingerprint,['Fingerprint'],
com.unity3d.ads.api.DeviceInfo,getFingerprint,['Fingerprint'],
com.unity3d.ads.metadata.InAppPurchaseMetaData,setPrice,['Price'],
com.unity3d.ads.metadata.InAppPurchaseMetaData,setCurrency,['Currency'],
