com.unity3d.services.ads.adunit.AdUnitMotionEvent,getDeviceId,"['Device', 'ID']",
com.unity3d.services.core.device.AdvertisingId,getAdvertisingTrackingId,"['Advertising', 'ID']",
com.unity3d.services.core.device.Device,getAndroidId,['AndroidID'],
com.unity3d.services.core.device.Device,getAdvertisingTrackingId,"['Advertising', 'ID']",
com.unity3d.services.core.device.Device,getCertificateFingerprint,['Fingerprint'],
com.unity3d.services.core.device.Device,getFingerprint,['Fingerprint'],
com.unity3d.services.core.api.DeviceInfo,getAndroidId,['AndroidID'],
com.unity3d.services.core.api.DeviceInfo,getAdvertisingTrackingId,"['Advertising', 'ID']",
com.unity3d.services.core.api.DeviceInfo,getCertificateFingerprint,['Fingerprint'],
com.unity3d.services.core.api.DeviceInfo,getFingerprint,['Fingerprint'],
com.unity3d.ads.metadata.InAppPurchaseMetaData,setPrice,['Price'],
com.unity3d.ads.metadata.InAppPurchaseMetaData,setCurrency,['Currency'],
com.unity3d.services.purchasing.core.ITransactionListener,onTransactionComplete,['Transaction'],
com.unity3d.services.purchasing.core.ITransactionListener,onTransactionError,['Transaction'],
com.unity3d.services.monetization.placementcontent.purchasing.NativePromoAdapter,onClicked,['Click'],   Skip navigation links     Overview Package Class Tree Deprecated Index Help  
com.unity3d.services.purchasing.core.Product.Builder,withLocalizedPriceString,['Price'],
com.unity3d.services.purchasing.core.Product.Builder,withIsoCurrencyCode,['Currency'],
com.unity3d.services.purchasing.core.Product.Builder,withLocalizedPrice,['Price'],
com.unity3d.services.purchasing.core.Product,getLocalizedPriceString,['Price'],
com.unity3d.services.purchasing.core.Product,getIsoCurrencyCode,['Currency'],
com.unity3d.services.purchasing.core.Product,getLocalizedPrice,['Price'],
com.unity3d.services.purchasing.core.TransactionDetails.Builder,withTransactionId,['Transaction'],
com.unity3d.services.purchasing.core.TransactionDetails.Builder,withPrice,['Price'],
com.unity3d.services.purchasing.core.TransactionDetails.Builder,withPrice,['Price'],
com.unity3d.services.purchasing.core.TransactionDetails.Builder,withCurrency,['Currency'],
com.unity3d.services.purchasing.core.TransactionDetails,getTransactionId,['Transaction'],
com.unity3d.services.purchasing.core.TransactionDetails,getPrice,['Price'],
com.unity3d.services.purchasing.core.TransactionDetails,getCurrency,['Currency'],
com.unity3d.services.purchasing.core.TransactionDetailsUtilities,getJSONObjectForTransactionDetails,['Transaction'],
com.unity3d.services.purchasing.core.TransactionDetailsUtilities,getEventDataForTransactionDetails,['Transaction'],
com.unity3d.services.purchasing.core.TransactionErrorDetails.Builder,withTransactionError,['Transaction'],
com.unity3d.services.purchasing.core.TransactionErrorDetails,getTransactionError,['Transaction'],
com.unity3d.services.purchasing.core.TransactionErrorDetailsUtilities,getJSONObjectForTransactionErrorDetails,['Transaction'],
com.unity3d.services.analytics.UnityAnalytics,onIapTransaction,['Transaction'],
