Lcom/vungle/warren/model/Report;,getUserID,['UserID']
Lcom/vungle/warren/presenter/LocalAdPresenter$4;,onClick,['Click']
Lcom/vungle/warren/presenter/LocalAdPresenter$5;,onClick,['Click']
Lcom/vungle/warren/ui/VungleActivity$10;,onClick,['Click']
Lcom/vungle/warren/ui/VungleActivity$11;,onClick,['Click']
Lcom/vungle/warren/ui/VungleActivity$12;,onClick,['Click']
Lcom/vungle/warren/ui/VungleActivity$3;,onClick,['Click']
Lcom/vungle/warren/ui/VungleActivity$4;,onClick,['Click']
Lcom/vungle/warren/ui/VungleActivity$5;,onClick,['Click']
Lcom/vungle/warren/ui/VungleActivity$7;,onClick,['Click']
Lcom/vungle/warren/ui/VungleActivity$8;,onClick,['Click']
