Lcom/xtify/sdk/Endpoint;,getLocationURL,"('Location',)"
Lcom/xtify/sdk/Preferences;,getSharedPref,"('Share',)"
Lcom/xtify/sdk/SdkData;,getLocationInterval,"('Location',)"
Lcom/xtify/sdk/SdkData;,getLocationTimeOut,"('Location',)"
Lcom/xtify/sdk/SdkData;,getLocationUpdateTimeoutInSecs,"('Location',)"
Lcom/xtify/sdk/SdkData;,getXid,"('id',)"
Lcom/xtify/sdk/SdkData;,setLocationInterval,"('Location',)"
Lcom/xtify/sdk/SdkData;,setLocationTimeOut,"('Location',)"
Lcom/xtify/sdk/SdkData;,setLocationUpdateTimeoutInSecs,"('Location',)"
Lcom/xtify/sdk/SdkData;,setXid,"('id',)"
Lcom/xtify/sdk/SdkManifestVerifier;,getLocationServiceWarning,"('Location',)"
Lcom/xtify/sdk/SdkManifestVerifier;,verifyContentProvider,"('id',)"
Lcom/xtify/sdk/alarm/RegistrationIntentService$RegistrationType;,name,"('name',)"
Lcom/xtify/sdk/alarm/TagIntentService$TagActionType;,name,"('name',)"
Lcom/xtify/sdk/alarm/XtifyRegistrationManager;,getXidFromResponse,"('id',)"
Lcom/xtify/sdk/api/XtifyLocation;,updateLocation,"('Location',)"
Lcom/xtify/sdk/api/XtifyLocation;,updateLocation,"('Location',)"
Lcom/xtify/sdk/api/XtifySDK;,getXidKey,"('id',)"
Lcom/xtify/sdk/beacons/BeaconService;,didDetermineStateForRegion,"('id',)"
Lcom/xtify/sdk/beacons/BeaconService;,didDwellBeaconRegionRadius,"('ad', 'id')"
Lcom/xtify/sdk/beacons/BeaconService;,didEnterBeaconRegion,"('id',)"
Lcom/xtify/sdk/beacons/BeaconService;,didEnterBeaconRegionRadius,"('ad', 'id')"
Lcom/xtify/sdk/beacons/BeaconService;,didEnterRegion,"('id',)"
Lcom/xtify/sdk/beacons/BeaconService;,didExitBeaconRegion,"('id',)"
Lcom/xtify/sdk/beacons/BeaconService;,didExitBeaconRegionRadius,"('ad', 'id')"
Lcom/xtify/sdk/beacons/BeaconService;,didExitRegion,"('id',)"
Lcom/xtify/sdk/beacons/BeaconService;,didRangeBeaconsInRegion,"('id',)"
Lcom/xtify/sdk/ibeacon/IBeacon;,getBluetoothAddress,"('Address',)"
Lcom/xtify/sdk/ibeacon/IBeacon;,getProximityUuid,"('id',)"
Lcom/xtify/sdk/ibeacon/MonitorNotifier;,didDetermineStateForRegion,"('id',)"
Lcom/xtify/sdk/ibeacon/MonitorNotifier;,didEnterRegion,"('id',)"
Lcom/xtify/sdk/ibeacon/MonitorNotifier;,didExitRegion,"('id',)"
Lcom/xtify/sdk/ibeacon/RangeNotifier;,didRangeBeaconsInRegion,"('id',)"
Lcom/xtify/sdk/ibeacon/Region;,getProximityUuid,"('id',)"
Lcom/xtify/sdk/ibeacon/Region;,normalizeProximityUuid,"('id',)"
Lcom/xtify/sdk/ibeacon/service/MonitorState;,isInside,"('id',)"
Lcom/xtify/sdk/ibeacon/service/MonitorState;,isNewlyOutside,"('id',)"
Lcom/xtify/sdk/ibeacon/service/MonitorState;,markInside,"('id',)"
Lcom/xtify/sdk/ibeacon/service/MonitoringData;,isInside,"('id',)"
Lcom/xtify/sdk/ibeacon/service/RangedIBeacon;,getProximityUuid,"('id',)"
Lcom/xtify/sdk/location/GeofenceManager$GeofenceUpdateStatus;,getLocation,"('Location',)"
Lcom/xtify/sdk/location/GeofenceManager;,onConnectionFailed,"('Connection',)"
Lcom/xtify/sdk/location/GeofenceManager;,onConnectionSuspended,"('Connection',)"
Lcom/xtify/sdk/location/LocationManger$2;,onLocationChanged,"('Location',)"
Lcom/xtify/sdk/location/LocationManger$2;,onProviderDisabled,"('id',)"
Lcom/xtify/sdk/location/LocationManger$2;,onProviderEnabled,"('id',)"
Lcom/xtify/sdk/location/LocationManger;,buildLocationJSON,"('Location',)"
Lcom/xtify/sdk/location/LocationManger;,finishLocationUpdate,"('Location',)"
Lcom/xtify/sdk/location/LocationManger;,sendLocation,"('Location',)"
Lcom/xtify/sdk/location/LocationManger;,setupLocationListener,"('Location',)"
Lcom/xtify/sdk/location/LocationUpdateService;,updateLocation,"('Location',)"
Lcom/xtify/sdk/util/AndroidManifestHelper;,isContentProviderDefinedInManifest,"('id',)"
